Name,zcr,flt,lds,alds,strpk,nrg,cntr,flu,rof,entr,danc,bpm,tufre,ptch,tmpo,edmk,edm,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,gen
abrazame amor --luis miguel del amargue.wmv-3KRvq-oviBU-recortado.wav,0.05998091399669647,0.18515270948410034,-9.322861671447754,0.8581749200820923,1.1276028156280518,0.024916665628552437,1093.739501953125,0.07495593279600143,1243.9088134765625,7.040641784667969,1.0410653352737427,121.17683410644531,454.202880859375,0.5604081153869629,130.8139534883721,Bb,major,-684.3304,121.99389,30.15956,27.817402,-1.4062465,Bachata
Alex bueno - Ven salvame-CVoy7BD13wk-recortado.wav,0.0460357666015625,0.21552199125289917,-11.359362602233887,0.8782354593276978,0.7046225070953369,0.03834265097975731,1088.19189453125,0.08434291929006577,1114.6634521484375,7.109573841094971,1.3533694744110107,114.94795989990234,434.193115234375,0.4726819694042206,125.0,Eb,major,-672.6516,130.68065,16.750874,25.523796,9.651248,Bachata
Alex bueno paso a paso-EWSW42MEFHY-recortado.wav,0.06897978484630585,0.18854889273643494,-9.32391357421875,0.9747006893157959,0.8954989910125732,0.026690250262618065,1313.9344482421875,0.0843861997127533,1939.2716064453125,7.276587009429932,1.3780789375305176,119.45439147949219,434.193115234375,0.47762811183929443,130.8139534883721,C#,major,-672.42896,99.64141,42.6163,26.877428,6.977118,Bachata
Alex bueno yo me ire-m323nTEkKLo-recortado.wav,0.06576988846063614,0.17894986271858215,-11.985861778259277,0.9454562664031982,0.7806034684181213,0.030853958800435066,1171.0684814453125,0.08608609437942505,1474.260009765625,7.265775680541992,1.3574780225753784,121.84202575683594,434.193115234375,0.4768228232860565,130.8139534883721,F#,minor,-688.27826,114.766754,36.21068,16.649311,11.427998,Bachata
alex bueno.     perdoname-Q4xtShkpyTc-recortado.wav,0.06348523497581482,0.24008169770240784,-14.933464050292969,0.8976020812988281,1.14676034450531,0.022006461396813393,1790.532470703125,0.07187320291996002,1988.4476318359375,7.002770900726318,1.288144826889038,114.86270904541016,434.193115234375,0.41945603489875793,125.0,G,major,-723.15356,104.38191,13.517786,49.03866,6.5860596,Bachata
Alex Bueno...........PIDEME-hl-WSSvyC2E-recortado.wav,0.07477014511823654,0.1743651181459427,-12.168184280395508,0.9705946445465088,0.533560037612915,0.03356844559311867,2037.828125,0.0873604342341423,2246.125244140625,7.459506034851074,1.5950605869293213,114.9899673461914,434.193115234375,0.42846792936325073,125.0,G,major,-669.0901,92.794365,9.564717,45.169872,14.755902,Bachata
Amigos Con Derechos - Mr Don & Johandy Ft  Dj Khalid (Version Bachata)-Nq5g0HejOjU-recortado.wav,0.05728496238589287,0.1568790078163147,-10.45797061920166,0.9615657925605774,1.2633557319641113,0.03226178511977196,1067.0474853515625,0.08749912679195404,1416.111083984375,7.113043308258057,1.3370097875595093,100.88902282714844,432.4410400390625,0.546281635761261,110.29411764705883,C,major,-657.6604,148.15106,7.4287753,5.5667005,11.696961,Bachata
Amor a Medio Tiempo _ Yoskar Sarante _ Bachata 2017-6rPRf2JSLI0-recortado.wav,0.07387473434209824,0.19663676619529724,-13.432351112365723,0.9619426727294922,1.1277823448181152,0.03996038809418678,1182.9246826171875,0.10121608525514603,2027.718017578125,7.099604606628418,1.3741942644119263,151.3043975830078,451.8477783203125,0.45387202501296997,165.44117647058823,G,minor,-659.0022,95.07339,42.03359,15.566255,10.299503,Bachata
Amor de Madre-aDcpuSE8Atg-recortado.wav,0.07195039093494415,0.20780879259109497,-12.018427848815918,0.9121263027191162,0.9844247698783875,0.025686215609312057,874.793212890625,0.07160429656505585,2028.61962890625,6.831908702850342,1.1792196035385132,119.70354461669922,455.5166015625,0.5080331563949585,130.8139534883721,B,major,-716.42114,132.09877,49.07909,9.364716,10.295633,Bachata
Ana Victoria - Si Mañana No Me Ves (Versión Bachata) [Video Oficial]-PV8rhPutSrw-recortado.wav,0.057360563427209854,0.16804715991020203,-10.114100456237793,0.938204288482666,0.8764390349388123,0.03471481427550316,976.8300170898438,0.09105923026800156,1212.45068359375,7.347387313842773,1.296197533607483,117.5517578125,434.193115234375,0.5345590114593506,127.8409090909091,A,major,-645.0618,122.749565,36.94805,12.515998,8.579759,Bachata
Andy Andy - Que Ironía-WyLHsKBLB9Y-recortado.wav,0.0523248165845871,0.20616158843040466,-8.142498016357422,0.8306775093078613,1.2014607191085815,0.018185121938586235,825.288818359375,0.06382632255554199,1276.331298828125,6.860679626464844,1.2310316562652588,122.4513931274414,434.69500732421875,0.5146840214729309,133.92857142857142,D,major,-724.6341,134.39445,34.485115,11.332987,7.0318117,Bachata
Andy Andy - Un Hombre Nuevo (Video Oficial)--Lt7Ugsca9I-recortado.wav,0.06479332596063614,0.15634118020534515,-8.950599670410156,0.9234018921852112,0.9081798791885376,0.020708682015538216,1454.7906494140625,0.07540951669216156,1772.7288818359375,7.302900314331055,1.2103503942489624,117.59716033935547,454.7279052734375,0.4991832673549652,127.8409090909091,E,minor,-674.2852,124.61899,-6.1829,32.090454,0.45549306,Bachata
Anna Carina - Amándote (feat. Jandy Feliz)-xjTZdM2RRuY-recortado.wav,0.056532081216573715,0.15689252316951752,-6.815904140472412,0.9797145128250122,1.1346673965454102,0.03406912833452225,1317.2720947265625,0.09311430901288986,1420.71728515625,7.2509307861328125,1.5199867486953735,117.68189239501953,449.24530029296875,0.50022292137146,127.8409090909091,Bb,major,-636.27844,125.66094,5.9087253,20.437395,20.255135,Bachata
Anna Carina - No me arrepiento [Versión Bachata] (Sola) - Video Letra-IC1NcbyX0Z8-recortado.wav,0.056781768798828125,0.15869762003421783,-7.838300704956055,0.9838129281997681,0.9068338871002197,0.042671527713537216,1433.012451171875,0.10613597184419632,1588.8253173828125,7.263379096984863,1.8519854545593262,118.1512680053711,434.193115234375,0.44068434834480286,127.8409090909091,D,major,-632.51227,124.78958,7.9986453,8.571748,24.973602,Bachata
